word,frequency
scene,35
cathedral,35
girls,35
joseph,35
books,35
twelve,35
road,35
cities,35
ourselves,35
breakfast,35
low,35
fight,35
case,35
struck,35
trees,35
silver,35
hair,35
garden,35
able,35
filled,35
mighty,35
captain,34
grave,34
buried,34
battle,34
past,34
manner,34
book,34
instead,34
celebrated,34
sent,34
die,34
memory,34
different,34
wore,34
valley,34
roman,33
company,33
naples,33
character,33
tomb,33
egypt,33
europe,33
written,33
standing,33
learn,33
gentleman,33
ah,33
met,33
partly,33
o'clock,33
rare,33
finished,33
afterward,33
comes,33
forever,33
arrived,33
arabs,33
spoke,33
centre,33
sound,33
forty,33
jack,32
sir,32
palaces,32
eighteen,32
dogs,32
nine,32
scenery,32
tower,32
possible,32
paid,32
gold,32
surely,32
wished,32
became,32
ones,32
line,32
enjoy,32
buy,32
longer,32
attention,32
truth,32
trouble,31
war,31
priests,31
mount,31
ephesus,31
procession,31
ferguson,31
proper,31
likely,31
genoa,31
perfect,31
fire,31
satisfied,31
handsome,31
court,31
making,31
fellow,31
died,31
tall,31
smoke,31
dark,31
tears,31
real,31
forest,31
figure,31
strangers,31
continued,30
received,30
late,30
tradition,30
paul,30
usual,30
necessary,30
months,30
free,30
believed,30
perfectly,30
appeared,30
arms,30
friend,30
steps,30
familiar,30
write,30
painted,30
blood,30
god,30
eat,30
dust,30
forgotten,30
hot,30
stones,30
boat,30
round,30
effect,30
hole,30
heidelberg,30
ruined,29
crown,29
bedouins,29
galilee,29
remain,29
occasionally,29
forward,29
early,29
costumes,29
storm,29
natural,29
neither,29
sing,29
afternoon,29
mass,29
color,29
level,29
break,29
rode,29
wear,29
millions,29
subject,28
churches,28
style,28
ruins,28
having,28
everywhere,28
gibraltar,28
sixty,28
jordan,28
already,28
ashore,28
summer,28
bring,28
waters,28
sides,28
ran,28
worn,28
dirt,28
heaven,28
less,28
bear,28
virgin,28
dress,28
try,28
flowers,28
sitting,28
names,28
quite,28
born,28
germany,28
thousands,28
soap,27
legend,27
masters,27
stranger,27
fountain,27
distant,27
mention,27
york,27
stay,27
taking,27
means,27
hope,27
lady,27
nobody,27
shore,27
covered,27
corner,27
heavy,27
yards,27
behold,27
sword,27
soft,27
sees,27
pass,27
train,27
son,27
placed,27
to-day,27
red,27
jay,27
trip,26
blucher,26
sunday,26
venerable,26
account,26
spent,26
presence,26
change,26
'll,26
cat,26
alone,26
bow,26
bad,26
fashion,26
summit,26
position,26
blocks,26
figures,26
century,26
bones,26
mentioned,26
ordinary,26
thy,26
third,26
sepulchre,26
bucksheesh,26
brother,25
vesuvius,25
ashes,25
columns,25
russia,25
smyrna,25
bible,25
spain,25
passing,25
islands,25
florence,25
mouth,25
states,25
week,25
crowded,25
shot,25
sign,25
smooth,25
